Date,ABOT,ACPL,ADMM,AGIL,AGTL
19/01/2016,0.002402882,0.030763717,0.031072992,0.022959606,0.0077
20/01/2016,0.023471213,0.000700245,0,-0.022444294,-0.0003
21/01/2016,0.009646228,0.013591536,0,0.004811538,0.005
22/01/2016,0.006621828,0.000700245,-0.007074855,0.050010328,-0.0043
25/01/2016,0.019691367,-0.008662265,0.028601384,0.009141531,-0.0046
26/01/2016,0,0.005414606,0.012173501,0,-0.0168
27/01/2016,-0.027903306,-0.002696358,-0.003394227,-0.015085063,0.0051
28/01/2016,0.008838834,0.002002001,0.005213543,0.0010005,0.005
29/01/2016,0,0.007427448,0.025725329,-0.005584349,-0.0027
02/01/2016,0.036863198,0.029321657,0.02173279,0.002603383,-0.0027
02/02/2016,-0.003992011,0.033653899,0.032724029,0.00310481,0.003
02/03/2016,0.017654022,-0.008166472,0.014199874,0.023880684,0.0153
02/04/2016,0.042060497,0.002503128,-0.009355958,-0.002496878,0.0003
02/08/2016,0.019589403,0.009444319,0,-0.002496878,0.0446
02/09/2016,-0.012619695,-0.014296816,-0.011038622,-0.026444067,0.0132
02/10/2016,-0.018722515,-0.033525148,-0.007968085,-0.014395381,-0.0314
02/11/2016,-0.023519014,-0.011137514,0.016027078,-0.001598721,-0.0126
02/12/2016,0.012679714,-0.027125317,0,-0.023519014,0.0203
15/02/2016,0.003506132,0.012274724,-0.007868877,0.02408548,0.0105
16/02/2016,0.008536228,-0.016167874,0,-0.015085063,-0.0038
17/02/2016,0.006823172,0.00140098,-0.007968085,0.010555318,-0.008
18/02/2016,-0.007868877,-0.019114947,-0.030524427,-0.02566491,-0.01
19/02/2016,0.006621828,-0.022932949,-0.00826565,-0.009157809,-0.0081
22/02/2016,-0.021368391,0.004309258,-0.025080134,-0.020095342,-0.0072
23/02/2016,0,0.006420524,0,0.005012521,-0.0149
24/02/2016,0.020711568,-0.024690088,0.015417644,-0.004987521,0.007
25/02/2016,-0.009752136,0,0.013490182,0.010555318,-0.0106
26/02/2016,-0.008959621,0.021630622,0,0,-0.0033
29/02/2016,-0.001698556,0.004208832,-0.003294561,0.025725329,-0.0074
03/01/2016,0,-0.007769659,0,0,0.001
03/02/2016,-0.014099656,0.02623832,0,0.015011558,0.0181
03/03/2016,-0.007471945,0.013084867,0,-0.030039568,0.0355
03/04/2016,0.008032086,0.025212594,0.00833454,0,0.0048
03/07/2016,0.006118643,0.049905332,0,-0.000499875,0.007
03/08/2016,0.006118643,0.008233712,0.028190026,-0.001099395,-0.007
03/09/2016,-0.010445067,0.049695372,-0.004788498,0.011971087,-0.007
03/10/2016,-0.00119928,0.021528464,-0.022639785,0,-0.0048
03/11/2016,0,-0.008761393,0,0.004811538,-0.0042
14/03/2016,0.010858531,0.003004505,0,-0.036901897,0.0013
15/03/2016,-0.019016854,0.032414259,0,0.025520204,-0.0127
16/03/2016,0.010858531,-0.026833411,0.049695372,0,0.0153
17/03/2016,0.010858531,0.004108416,-0.009455018,0,0.0074
18/03/2016,0.00080032,0.005816853,-0.015971088,0,0.0026
21/03/2016,0.013794275,-0.005186503,0.024290318,-0.038441622,-0.0022
22/03/2016,-0.028000511,0.005816853,0,-0.002297357,0.0076
24/03/2016,0.003907615,-0.005783212,0,-0.010741889,0.0038
25/03/2016,0,0.017552262,0.004711062,0,-0.0006
28/03/2016,0.004610596,0.003405787,-0.004688972,-0.013705217,0.0166
29/03/2016,0.011161834,0.006823172,0,0.002904209,0.0346
30/03/2016,0,0.00451014,0,0,0.0484
31/03/2016,0.013084867,0.012983564,0,-0.008662265,0.0288
04/01/2016,-0.002796084,0.0296305,0.030042435,0.019793341,-0.0291
04/04/2016,-0.005087017,0.011971087,0,0.001100605,0.0139
04/05/2016,0,0.037485503,0,-0.016561328,-0.0105
04/06/2016,-0.002995504,0.013388838,-0.015380493,0.016230303,-0.0006
04/07/2016,0.021324179,0.011768713,0,0,0.0218
04/08/2016,0.001501126,-0.001998001,-0.028000511,-0.027903306,-0.0112
04/11/2016,-0.014493937,-0.037383326,-0.02566491,-0.027611633,-0.0203
04/12/2016,0.000700245,0.023573566,0,0.01389566,-0.004
13/04/2016,-0.028292067,0.001501126,0,-0.006578268,-0.0827
14/04/2016,0.044773379,0.01999732,0.024700116,0.020915731,0.0631
15/04/2016,0,-0.019605267,0,0.004711062,0.0038
18/04/2016,0,-0.0030952,-0.008067283,0,0.007
19/04/2016,-0.01547895,-0.008166472,0.024290318,-0.006975557,0
20/04/2016,0.015519191,-0.00618082,0.012679714,0.002302647,-0.0129
21/04/2016,0.000300045,0.005716276,-0.014001061,0,-0.0012
22/04/2016,0.005414606,-0.014001061,-0.014198241,0.00060018,0.0395
25/04/2016,0.000500125,-0.00528598,0.049800347,-0.01587268,0.0361
26/04/2016,0.00924245,0.048017202,0.026033092,-0.009554067,0.0155
27/04/2016,0.007528195,-0.008563126,0.037278027,0.013794275,0.0057
28/04/2016,0.006018036,0.010656379,-0.050291326,0,0.0139
29/04/2016,0.002202422,-0.012027089,-0.04237594,-0.008860512,-0.0077
05/02/2016,0.009141531,0.013692901,0.011060722,0.008939723,0.0029
05/03/2016,-0.003593528,0.023573566,0.031279227,0.003606488,0.0061
05/04/2016,0.008939723,0.021528464,0.003004505,0.002402882,0.0055
05/05/2016,-0.00119928,0.011060722,-0.022639785,-0.022444294,-0.0037
05/06/2016,-0.004987521,0.002402882,0.018570323,0.014504179,0.0032
05/09/2016,0.020711568,-0.00139902,0.012173501,-0.002397122,0.0152
05/10/2016,-0.005783212,0.003305451,0.007528195,0.01075745,0.0052
05/11/2016,-0.008662265,-0.012323437,-0.043141733,0,0.0144
05/12/2016,-0.00079968,-0.018624382,0.02173279,0.00531407,-0.0036
13/05/2016,0.008233712,0.023880684,0.010656379,0,0.0026
16/05/2016,-0.005882629,-0.016659667,-0.043715676,0.050430416,-0.0003
17/05/2016,-0.001598721,-0.018428088,0.042477404,0.049695372,-0.0054
18/05/2016,0.020507446,-0.013803841,0.003004505,0.02921873,-0.0015
19/05/2016,-0.019997347,0.023471213,0.025622761,0.002102207,0
20/05/2016,-0.00019998,-0.005882629,0.041123064,-0.024787614,0.0155
23/05/2016,0.003004505,0.012274724,0.04226893,-0.025957167,-0.069
24/05/2016,-0.002596623,-0.012125882,0.025725329,0.003807229,0.044
25/05/2016,-0.000299955,0.001501126,-0.00528598,-0.003792789,0.0023
26/05/2016,0.000900405,-0.008364819,-0.025177621,-0.019016854,-0.0135
27/05/2016,0.003004505,0.007931287,0.006823172,0.008838834,-0.0029
30/05/2016,-0.012718428,-0.050101365,0.01887594,0.012072289,0.0154
31/05/2016,-0.020781035,0.015011558,0,-0.004290768,0.009
06/01/2016,-0.011730653,-0.0009995,0,0.013084867,0.0018
06/02/2016,0.020609502,0.021937157,-0.011928287,-0.019899342,-0.0023
06/03/2016,-0.004091606,-0.000499875,0,0.002202422,0.014
06/06/2016,0.017450512,-0.017937179,-0.012125882,-0.010346107,-0.0153
06/07/2016,0.008838834,0.017755793,0.005414606,-0.01547895,-0.0127
06/08/2016,-0.028000511,0.008536228,0,0,-0.0003
06/09/2016,0.00531407,-0.001498876,0,-0.039306635,-0.0123
06/10/2016,-0.013211946,0,0,-0.042663184,-0.0167
13/06/2016,0,-0.017838968,0,-0.002397122,0.0077
14/06/2016,0.006018036,-0.006081433,-0.039210561,-0.001798381,-0.0027
15/06/2016,0.007528195,0.017247042,0,0.036137648,0.0101
16/06/2016,0,0.005012521,0,0.014199874,-0.0066
17/06/2016,0.007931287,0.003506132,-0.042184396,0.022755034,0.0021
20/06/2016,0.020405401,0.010858531,0,0.003405787,0.0484
21/06/2016,-0.008662265,-0.005882629,-0.013211946,0.01592548,-0.0176
22/06/2016,0.007628953,0.003907615,0.007427448,0,-0.0103
23/06/2016,-0.006379564,0,0,-0.021857584,-0.0021
24/06/2016,0.012173501,-0.034877266,-0.044289274,0.013692901,-0.0168
27/06/2016,0.014199874,0.017247042,-0.029360358,0.003907615,-0.004
